id_department,department_name,terrain_area,old_antenna,new_antenna_type
4,Atlantico,365400,2,a
24,Quindio,1043000,5,b
19,Magdalena,1508000,16,b
26,San Andres y Providencia,1021000,10,d
9,Casanare,1941600,0,a
27,Santander,477000,14,d
3,Arauca,131800,22,e
9,Casanare,256400,26,b
22,Norte de Santander,305600,1,a
16,Guaviare,4000,28,a
3,Arauca,1713200,18,e
17,Huila,722600,21,a
5,Bolivar,485400,29,e
19,Magdalena,1087600,2,b
9,Casanare,36200,24,e
24,Quindio,90600,29,b
25,Risaralda,1052200,9,b
7,Caldas,265000,22,c
9,Casanare,889000,12,a
18,La Guajira,1677800,26,c
2,Antioquia,1412000,0,b
32,Vichada,814200,0,c
18,La Guajira,336400,7,d
14,Cundinamarca,1823800,24,c
22,Norte de Santander,533400,10,e
30,Valle del Cauca,1300600,21,e
17,Huila,1074800,17,c
14,Cundinamarca,1573400,11,c
12,Choco,1578800,12,b
13,Cordoba,1715400,15,c
15,Guainia,901800,18,c
9,Casanare,175800,13,d
15,Guainia,42800,3,b
18,La Guajira,1786000,19,e
10,Cauca,1876800,28,b
6,Boyaca,469600,0,c
29,Tolima,1261200,6,b
15,Guainia,349200,23,d
28,Sucre,835600,28,a
21,Narino,31600,28,a
22,Norte de Santander,258200,16,b
29,Tolima,1801000,2,d
8,Caqueta,120600,13,d
8,Caqueta,1876800,3,b
17,Huila,1220400,22,a
11,Cesar,1637200,21,a
27,Santander,941800,23,d
30,Valle del Cauca,1206400,12,b
31,Vaupes,579400,29,d
27,Santander,1741600,4,d
20,Meta,1100800,15,a
20,Meta,490800,0,b
31,Vaupes,260400,2,b
29,Tolima,1924000,18,c
7,Caldas,496000,5,b
20,Meta,690200,4,a
11,Cesar,1777800,13,d
28,Sucre,1392000,11,e
5,Bolivar,3200,5,e
16,Guaviare,1188400,7,b
9,Casanare,920400,29,c
30,Valle del Cauca,864400,13,a
28,Sucre,1212600,11,a
32,Vichada,1416400,8,d
22,Norte de Santander,210800,20,d
1,Amazonas,1352200,27,e
9,Casanare,1254800,24,d
13,Cordoba,785200,21,a
31,Vaupes,1687000,25,b
21,Narino,233600,4,e
23,Putumayo,1697200,12,e
26,San Andres y Providencia,593200,1,d
21,Narino,338400,7,a
30,Valle del Cauca,890800,28,d
21,Narino,863000,4,d
9,Casanare,300800,13,d
7,Caldas,1465400,2,c
23,Putumayo,122400,8,e
22,Norte de Santander,919000,10,e
31,Vaupes,1931400,19,e
11,Cesar,550000,6,e
30,Valle del Cauca,1410200,7,d
10,Cauca,269400,0,d
9,Casanare,987200,4,c
5,Bolivar,762800,15,b
32,Vichada,619200,18,e
2,Antioquia,718800,1,b
17,Huila,755200,19,a
32,Vichada,1845600,23,e
13,Cordoba,1763200,23,b
21,Narino,625000,1,c
24,Quindio,785200,9,b
29,Tolima,1518200,18,d
6,Boyaca,117800,30,e
21,Narino,1263400,21,d
8,Caqueta,760600,4,b
23,Putumayo,1104200,7,b
8,Caqueta,1457000,20,b
29,Tolima,464000,9,c
8,Caqueta,174400,13,e
19,Magdalena,392400,27,b
30,Valle del Cauca,225600,23,e
27,Santander,347400,7,b
30,Valle del Cauca,1432000,25,d
16,Guaviare,253000,6,e
32,Vichada,1602800,3,c
7,Caldas,1735800,27,d
17,Huila,442000,26,a
22,Norte de Santander,268400,20,c
5,Bolivar,1100000,4,a
8,Caqueta,244600,19,b
7,Caldas,765200,9,b
21,Narino,2000000,2,c
30,Valle del Cauca,1422800,24,b
32,Vichada,239200,22,e
11,Cesar,1199200,10,a
3,Arauca,1723000,11,b
11,Cesar,728200,8,b
21,Narino,1636800,22,d
7,Caldas,1511200,27,e
28,Sucre,1115200,8,c
6,Boyaca,696600,27,c
6,Boyaca,143800,15,b
28,Sucre,1124200,3,b
7,Caldas,1892600,11,a
25,Risaralda,812800,20,e
19,Magdalena,1509000,20,c
31,Vaupes,1810800,9,e
10,Cauca,415400,17,b
23,Putumayo,1907200,5,e
26,San Andres y Providencia,1823600,27,b
11,Cesar,88400,21,d
29,Tolima,274000,29,c
19,Magdalena,1526000,9,b
20,Meta,20000,29,c
20,Meta,799200,16,e
21,Narino,1679400,8,a
18,La Guajira,1187000,18,b
3,Arauca,1653600,23,e
